code,name,type,latitude,longitude
DDRS,Dordrecht Stadspolders,stoptreinstation,51.801944732666,4.7166666984558
WV,Wolvega,stoptreinstation,52.880832672119,6.0036110877991
WW,Winterswijk,knooppuntStoptreinstation,51.9677307,6.7155181
HGLO,Hengelo Oost,stoptreinstation,52.268890380859,6.8194446563721
WZ,Wezep,stoptreinstation,52.454166412354,6.0025000572205
OST,Olst,intercitystation,52.334720611572,6.1130557060242
BZL,Kapelle-Biezelinge,stoptreinstation,51.480834960938,3.9561111927033
GVMW,Den Haag Moerwijk,stoptreinstation,52.053890228271,4.3086109161377
OTB,Oosterbeek,stoptreinstation,51.994998931885,5.8400001525879
HFD,Hoofddorp,stoptreinstation,52.293334960938,4.7005553245544
GDG,Gouda Goverwelle,stoptreinstation,52.014999389648,4.7408332824707
KLP,Veenendaal-De Klomp,stoptreinstation,52.045833587646,5.5738887786865
ALMP,Almere Parkwijk,stoptreinstation,52.376667022705,5.244722366333
GDM,Geldermalsen,knooppuntStoptreinstation,51.88301,5.27127
ALMO,Almere Oostvaarders,stoptreinstation,52.403331756592,5.3005557060242
GDR,Gaanderen,stoptreinstation,51.93074,6.3486
ALMM,Almere Muziekwijk,stoptreinstation,52.367500305176,5.1902775764465
ALMB,Almere Buiten,stoptreinstation,52.394165039062,5.2780556678772
KMA,Krommenie-Assendelft,stoptreinstation,52.49511,4.75417
WDN,Wierden,knooppuntStoptreinstation,52.361389160156,6.5916666984558
ZA,Zetten-Andelst,stoptreinstation,51.920056,5.7228408
ZB,Zuidbroek,knooppuntStoptreinstation,53.159612280006,6.8679141998291
ZD,Zaandam,knooppuntIntercitystation,52.438888549805,4.8136110305786
HGL,Hengelo,knooppuntIntercitystation,52.261665344238,6.7938890457153
ZH,Zuidhorn,stoptreinstation,53.2486292,6.4062361
KMR,Klimmen-Ransdaal,stoptreinstation,50.866390228271,5.8905553817749
ZL,Zwolle,knooppuntIntercitystation,52.504722595215,6.0919442176819
KMW,Koudum-Molkwerum,stoptreinstation,52.9028197,5.4106913
AMPO,Almere Poort,stoptreinstation,52.342778,5.151944
AVAT,Amersfoort Vathorst,stoptreinstation,52.192779541016,5.4338889122009
HGV,Hoogeveen,stoptreinstation,52.733890533447,6.4736108779907
ZP,Zutphen,knooppuntIntercitystation,52.145278930664,6.1941666603088
MMLH,Mook-Molenhoek,stoptreinstation,51.766262,5.879133
HGZ,Hoogezand-Sappemeer,knooppuntStoptreinstation,53.159818131676,6.7707538604736
MRB,Mariënberg,knooppuntSneltreinstation,52.50944519043,6.5752778053284
ZV,Zevenaar,knooppuntStoptreinstation,51.923053741455,6.0719442367554
OVN,Overveen,stoptreinstation,52.391109466553,4.6061110496521
BHDV,Boven-Hardinxveld,stoptreinstation,51.832222,4.878056
MRN,Maarn,knooppuntStoptreinstation,52.064167022705,5.3699998855591
IJT,IJlst,stoptreinstation,53.0146614,5.6160801
VDM,Veendam,knooppuntStoptreinstation,53.10324,6.88475
VDL,Voerendaal,stoptreinstation,50.887222290039,5.9302778244019
WFM,Warffum,stoptreinstation,53.3908431,6.5671364
ZLW,Lage Zwaluwe,knooppuntStoptreinstation,51.69111251831,4.6630554199219
HIL,Hillegom,stoptreinstation,52.302501678467,4.5655555725098
AMRN,Alkmaar Noord,stoptreinstation,52.643890380859,4.7641668319702
AMRI,Almelo de Riet,stoptreinstation,52.341945648193,6.6666665077209
NVD,Nijverdal,stoptreinstation,52.366111,6.462
VEM,Voorst-Empe,stoptreinstation,52.157501220703,6.1436109542847
MTH,Martenshoek,stoptreinstation,53.1607232,6.7402989
EDC,Ede Centrum,stoptreinstation,52.043609619141,5.668333530426
MTN,Maastricht Noord,stoptreinstation,50.87087,5.71774
KPN,Kampen,stoptreinstation,52.559722900391,5.9216666221619
NVP,Nieuw Vennep,stoptreinstation,52.258888244629,4.6455554962158
MTR,Maastricht Randwyck,knooppuntStoptreinstation,50.838611602783,5.7172222137451
EDN,Eijsden,stoptreinstation,50.771945953369,5.710000038147
TBG,Terborg,stoptreinstation,51.9224549,6.3642466
NWK,Nieuwerkerk a/d IJssel,stoptreinstation,51.965278625488,4.6169443130493
TBR,Tilburg Reeshof,stoptreinstation,51.573612213135,4.9944443702698
TBU,Tilburg Universiteit,stoptreinstation,51.564985,5.051778
EEM,Eemshaven,stoptreinstation,53.458419,6.832
HKS,Hoogkarspel,stoptreinstation,52.69055557251,5.1838889122009
CAS,Castricum,intercitystation,52.545833587646,4.6586112976074
DDZD,Dordrecht Zuid,stoptreinstation,51.790000915527,4.6713891029358
KRD,Kerkrade Centrum,knooppuntStoptreinstation,50.861667633057,6.0574998855591
GERP,Groningen Europapark,stoptreinstation,53.20480027,6.5854178
KRG,Kruiningen-Yerseke,stoptreinstation,51.465000152588,4.0372223854065
HLG,Harlingen,stoptreinstation,53.1704205,5.4251932
LTN,Lunteren,stoptreinstation,52.085277557373,5.6244444847107
HLM,Haarlem,knooppuntIntercitystation,52.38777923584,4.6383333206177
HVSP,Hilversum Sportpark,stoptreinstation,52.216110229492,5.1872220039368
HLO,Heiloo,stoptreinstation,52.599445343018,4.7005553245544
HVSM,Hilversum Media Park,stoptreinstation,52.238056182861,5.1738886833191
DDN,Delden,stoptreinstation,52.259998321533,6.7161111831665
LTV,Lichtenvoorde-Groenlo,stoptreinstation,52.01188,6.59641
DDR,Dordrecht,knooppuntIntercitystation,51.807220458984,4.668333530426
SBK,Spaubeek,stoptreinstation,50.94327,5.850529
VHP,Vroomshoop,stoptreinstation,52.4571921,6.5696679
HTNC,Houten Castellum,stoptreinstation,52.01701,5.17949
LEDN,Leiden Centraal,knooppuntIntercitystation,52.166110992432,4.4816665649414
HMH,Helmond 't Hout,stoptreinstation,51.46794,5.63085
EGH,Eygelshoven,stoptreinstation,50.890556335449,6.0450000762939
HMN,Hemmen-Dodewaard,stoptreinstation,51.9222129,5.6737254
DEI,Deinum,stoptreinstation,53.1888115,5.7281572
LUT,Geleen-Lutterade,stoptreinstation,50.975555419922,5.8247222900391
RAI,Amsterdam RAI,stoptreinstation,52.337223052979,4.8902778625488
